Date,Open,Close,Weekly Returns
2005-01-24,37.119999,36.919998,-0.539
2005-01-31,37.360001,37.75,1.044
2005-02-07,37.799999,37.700001,-0.265
2005-02-14,37.700001,37.349998,-0.928
2005-02-21,37.029999,37.619999,1.593
2005-02-28,37.459999,37.52,0.16
2005-03-07,37.599998,37.169998,-1.144
2005-03-14,37.240002,36.509998,-1.96
2005-03-21,36.599998,36.27,-0.902
2005-03-28,36.41,36.200001,-0.577
2005-04-04,36.25,36.639999,1.076
2005-04-11,36.75,34.740002,-5.469
2005-04-18,34.709999,35.09,1.095
2005-04-25,35.299999,34.98,-0.907
2005-05-02,35.099998,35.860001,2.165
2005-05-09,35.869999,36.240002,1.032
2005-05-16,36.240002,37.66,3.918
2005-05-23,37.66,38.209999,1.46
2005-05-30,38.189999,38.099998,-0.236
2005-06-06,38.119999,37.549999,-1.495
2005-06-13,37.48,37.869999,1.041
2005-06-20,37.720001,36.970001,-1.988
2005-06-27,36.950001,36.73,-0.595
2005-07-04,36.599998,37.77,3.197
2005-07-11,37.869999,38.889999,2.693
2005-07-18,38.790001,39.419998,1.624
2005-07-25,39.459999,39.580002,0.304
2005-08-01,39.639999,39.48,-0.404
2005-08-08,39.52,39.209999,-0.784
2005-08-15,39.139999,38.82,-0.818
2005-08-22,38.880001,38.459999,-1.08
2005-08-29,38.259998,38.77,1.333
2005-09-05,38.950001,39.619999,1.72
2005-09-12,39.630001,39.400002,-0.58
2005-09-19,39.32,38.75,-1.45
2005-09-26,38.970001,39.459999,1.257
2005-10-03,39.540001,38.34,-3.035
2005-10-10,38.27,38.060001,-0.549
2005-10-17,38.07,38.549999,1.261
2005-10-24,38.73,38.32,-1.059
2005-10-31,38.450001,40.080002,4.239
2005-11-07,40.209999,40.709999,1.243
2005-11-14,40.77,41.450001,1.668
2005-11-21,41.400002,41.889999,1.184
2005-11-28,42.0,42.110001,0.262
2005-12-05,42.060001,41.720001,-0.808
2005-12-12,41.869999,41.580002,-0.693
2005-12-19,41.669998,41.400002,-0.648
2005-12-26,41.52,40.41,-2.673
2006-01-02,40.650002,42.68,4.994
2006-01-09,42.68,42.98,0.703
2006-01-16,42.650002,41.25,-3.283
2006-01-23,41.360001,42.110001,1.813
2006-01-30,42.18,40.919998,-2.987
2006-02-06,40.720001,40.959999,0.589
2006-02-13,40.700001,41.209999,1.253
2006-02-20,41.209999,41.259998,0.121
2006-02-27,41.360001,41.450001,0.218
2006-03-06,41.540001,40.560001,-2.359
2006-03-13,40.740002,41.450001,1.743
2006-03-20,41.57,41.299999,-0.65
2006-03-27,41.279999,41.93,1.575
2006-04-03,42.150002,42.32,0.403
2006-04-10,42.400002,42.099998,-0.708
2006-04-17,42.040001,42.0,-0.095
2006-04-24,41.950001,41.849998,-0.238
2006-05-01,41.919998,42.16,0.573
2006-05-08,42.080002,40.189999,-4.491
2006-05-15,40.02,39.349998,-1.674
2006-05-22,39.009998,39.490002,1.23
2006-05-29,39.299999,39.639999,0.865
2006-06-05,39.560001,38.150002,-3.564
2006-06-12,38.200001,38.34,0.366
2006-06-19,38.5,38.150002,-0.909
2006-06-26,38.169998,38.77,1.572
2006-07-03,38.889999,37.689999,-3.086
2006-07-10,37.790001,35.939999,-4.895
2006-07-17,35.950001,35.700001,-0.695
2006-07-24,35.84,37.110001,3.544
2006-07-31,37.080002,36.950001,-0.351
2006-08-07,36.91,36.529999,-1.03
2006-08-14,36.84,38.790001,5.293
2006-08-21,38.5,38.32,-0.468
2006-08-28,38.290001,39.080002,2.063
2006-09-04,39.099998,38.720001,-0.972
2006-09-11,38.41,40.110001,4.426
2006-09-18,40.119999,39.869999,-0.623
2006-09-25,40.040001,40.650002,1.523
2006-10-02,40.599998,41.41,1.995
2006-10-09,41.360001,42.43,2.587
2006-10-16,42.43,42.0,-1.013
2006-10-23,41.919998,42.209999,0.692
2006-10-30,42.16,41.93,-0.546
2006-11-06,42.07,43.029999,2.282
2006-11-13,43.049999,44.299999,2.904
2006-11-20,44.16,44.650002,1.11
2006-11-27,44.509998,43.66,-1.91
2006-12-04,43.790001,43.900002,0.251
2006-12-11,43.830002,44.43,1.369
2006-12-18,44.580002,42.93,-3.701
2006-12-25,42.93,43.16,0.536
2007-01-01,43.459999,43.849998,0.897
2007-01-08,43.889999,45.310001,3.235
2007-01-15,45.349998,44.169998,-2.602
2007-01-22,44.209999,43.57,-1.448
2007-01-29,43.459999,44.16,1.611
2007-02-05,44.139999,43.880001,-0.589
2007-02-12,43.869999,44.709999,1.915
2007-02-19,44.639999,45.259998,1.389
2007-02-26,45.48,42.48,-6.596
2007-03-05,42.150002,42.93,1.851
2007-03-12,42.869999,42.830002,-0.093
2007-03-19,43.060001,44.119999,2.462
2007-03-26,44.139999,43.529999,-1.382
2007-04-02,43.669998,44.560001,2.038
2007-04-09,44.709999,44.650002,-0.134
2007-04-16,44.830002,45.400002,1.271
2007-04-23,45.459999,46.57,2.442
2007-04-30,46.490002,46.630001,0.301
2007-05-07,46.66,46.779999,0.257
2007-05-14,46.77,46.709999,-0.128
2007-05-21,46.740002,46.450001,-0.62
2007-05-28,46.5,47.439999,2.022
2007-06-04,47.27,46.91,-0.762
2007-06-11,46.880001,47.759998,1.877
2007-06-18,47.849998,47.290001,-1.17
2007-06-25,47.299999,47.599998,0.634
2007-07-02,47.709999,48.860001,2.41
2007-07-09,48.900002,49.900002,2.045
2007-07-16,49.889999,50.049999,0.321
2007-07-23,50.220001,47.990002,-4.44
2007-07-30,48.220001,47.419998,-1.659
2007-08-06,47.470001,47.279999,-0.4
2007-08-13,47.68,46.310001,-2.873
2007-08-20,46.490002,48.200001,3.678
2007-08-27,48.060001,48.869999,1.685
2007-09-03,48.93,48.23,-1.431
2007-09-10,48.619999,49.220001,1.234
2007-09-17,49.0,50.360001,2.776
2007-09-24,50.490002,51.41,1.822
2007-10-01,51.450001,52.82,2.663
2007-10-08,52.799999,53.529999,1.383
2007-10-15,53.610001,52.439999,-2.182
2007-10-22,52.16,53.93,3.393
2007-10-29,54.189999,54.419998,0.424
2007-11-05,53.860001,50.0,-7.167
2007-11-12,49.919998,50.279999,0.721
2007-11-19,50.16,49.84,-0.638
2007-11-26,49.970001,51.310001,2.682
2007-12-03,51.09,52.330002,2.427
2007-12-10,52.459999,50.970001,-2.84
2007-12-17,50.779999,51.849998,2.107
2007-12-24,52.009998,51.82,-0.365
2007-12-31,51.57,48.400002,-6.147
2008-01-07,48.400002,47.049999,-2.789
2008-01-14,47.689999,45.349998,-4.907
2008-01-21,42.830002,43.990002,2.708
2008-01-28,44.02,45.59,3.567
2008-02-04,45.580002,43.599998,-4.344
2008-02-11,43.77,43.82,0.114
2008-02-18,44.400002,43.68,-1.622
2008-02-25,43.630001,42.950001,-1.559
2008-03-03,42.919998,42.07,-1.98
2008-03-10,42.009998,42.25,0.571
2008-03-17,41.290001,43.09,4.359
2008-03-24,43.279999,43.490002,0.485
2008-03-31,43.650002,45.860001,5.063
2008-04-07,46.139999,44.279999,-4.031
2008-04-14,44.209999,46.709999,5.655
2008-04-21,46.619999,47.150002,1.137
2008-04-28,47.259998,48.77,3.195
2008-05-05,48.77,48.209999,-1.148
2008-05-12,48.279999,50.009998,3.583
2008-05-19,50.049999,48.200001,-3.696
2008-05-26,48.299999,50.009998,3.54
2008-06-02,49.919998,49.029999,-1.783
2008-06-09,49.130001,48.369999,-1.547
2008-06-16,48.119999,47.419998,-1.455
2008-06-23,47.610001,45.650002,-4.117
2008-06-30,45.509998,44.630001,-1.934
2008-07-07,45.040001,44.560001,-1.066
2008-07-14,45.139999,44.59,-1.218
2008-07-21,45.0,45.27,0.6
2008-07-28,45.259998,44.880001,-0.84
2008-08-04,44.869999,47.32,5.46
2008-08-11,47.299999,48.16,1.818
2008-08-18,48.299999,47.490002,-1.677
2008-08-25,47.16,46.119999,-2.205
2008-09-01,46.869999,43.450001,-7.297
2008-09-08,44.02,43.43,-1.34
2008-09-15,42.400002,42.900002,1.179
2008-09-22,42.740002,41.080002,-3.884
2008-09-29,40.259998,36.18,-10.134
2008-10-06,35.259998,31.32,-11.174
2008-10-13,32.860001,32.299999,-1.704
2008-10-20,32.759998,29.51,-9.921
2008-10-27,29.17,32.889999,12.753
2008-11-03,32.810001,31.190001,-4.938
2008-11-10,31.969999,28.98,-9.353
2008-11-17,28.49,26.67,-6.388
2008-11-24,27.219999,29.120001,6.98
2008-12-01,28.5,28.940001,1.544
2008-12-08,29.59,29.68,0.304
2008-12-15,29.73,29.860001,0.437
2008-12-22,29.860001,29.129999,-2.445
2008-12-29,29.209999,31.030001,6.231
2009-01-05,30.83,30.07,-2.465
2009-01-12,30.110001,29.42,-2.292
2009-01-19,29.299999,28.9,-1.365
2009-01-26,28.940001,29.059999,0.415
2009-02-02,28.780001,31.370001,8.999
2009-02-09,31.389999,30.43,-3.058
2009-02-16,29.49,28.870001,-2.102
2009-02-23,29.030001,27.530001,-5.167
2009-03-02,27.120001,26.299999,-3.024
2009-03-09,26.09,28.74,10.157
2009-03-16,28.93,29.18,0.864
2009-03-23,29.9,30.82,3.077
2009-03-30,30.299999,32.349998,6.766
2009-04-06,31.99,32.939999,2.97
2009-04-13,32.84,33.310001,1.431
2009-04-20,32.709999,33.689999,2.996
2009-04-27,33.419998,34.369999,2.843
2009-05-04,34.68,34.23,-1.298
2009-05-11,33.790001,33.369999,-1.243
2009-05-18,33.599998,33.540001,-0.179
